upz_id,cod_localidad,localidad,n_meses,n_estaciones,flujo_medio,pct_nocturno_medio,hurto_mensual_medio,hurto_suma,violencia_mensual_media,orden_publico_mensual_medio,nuse_total_mensual_medio,tasa_loc_hurto_media,dist_cai_mediana_m,indice_nocturno_2019,rank_hurto_medio,rank_violencia_media,rank_orden_publico_medio,rank_tasa_loc_hurto
UPZ102,14.0,LOS MÁRTIRES,42,8.0,3068698.4523809524,0.12098437969957564,314.3333333333333,13202.0,745.7619047619048,1017.2619047619048,3377.5714285714284,576.1537926521758,459.1739343997227,41.75165722222223,1.0,10.0,9.0,1.0
UPZ28,11.0,SUBA,42,2.0,1088466.9523809524,0.19113853790316232,289.9761904761905,12179.0,2202.2619047619046,2394.4523809523807,6588.333333333333,96.28928736615683,1104.6211094636383,40.380222,2.0,1.0,1.0,49.0
UPZ26,10.0,ENGATIVÁ,42,3.0,1218586.9047619049,0.15154745906370176,258.7142857142857,10866.0,866.0952380952381,1154.8095238095239,3427.404761904762,149.95929637637732,1052.1769201193638,43.08297155555556,3.0,7.0,3.0,24.0
UPZ98,12.0,BARRIOS UNIDOS,42,3.0,1302249.9523809524,0.12679909260266808,241.61904761904762,10148.0,605.7380952380952,1022.7619047619048,2994.8333333333335,344.8483140041374,563.5155069805849,39.80123933333333,4.0,17.0,8.0,2.0
UPZ97,2.0,CHAPINERO,42,6.5,7239243.666666667,0.11486425022386373,240.38095238095238,10096.0,487.4047619047619,894.452380952381,2789.7619047619046,314.54486906419436,621.7074533988437,42.20146844444445,5.0,22.0,14.0,18.0
UPZ85,7.0,BOSA,42,1.0,566646.619047619,0.27584390445730195,230.33333333333334,9674.0,1707.595238095238,1503.2857142857142,4907.9047619047615,79.51803292988272,136.6458279071592,39.788368000000006,6.0,2.0,2.0,56.0
UPZ30,10.0,ENGATIVÁ,42,5.0,1692330.380952381,0.179880188253881,203.4047619047619,8543.0,871.452380952381,1137.4761904761904,3297.095238095238,149.95929637637732,621.3884696397519,43.08297155555556,7.0,6.0,4.0,24.0
UPZ40,16.0,PUENTE ARANDA,42,2.0,1155656.4761904762,0.1976383740576919,196.76190476190476,8264.0,625.952380952381,944.6428571428571,2647.9285714285716,241.78277109101643,509.8533112944933,41.01226222222223,8.0,15.0,11.0,19.0
UPZ93,3.0,SANTA FE,42,6.0,4329090.547619048,0.11168557102465156,193.07142857142858,8109.0,567.0714285714286,675.452380952381,2275.214285714286,327.5659301888684,202.823945556359,40.00542611111111,9.0,18.0,23.0,13.0
UPZ38,15.0,ANTONIO NARIÑO,42,2.0,993451.7380952381,0.16786991892938427,191.76190476190476,8054.0,615.3095238095239,916.1190476190476,2690.6666666666665,343.75320840202846,560.3864820663789,41.39465022222223,10.0,16.0,12.0,5.0
UPZ46,8.0,KENNEDY,42,3.0,2502508.4523809524,0.2252240532077969,180.4047619047619,7577.0,790.7380952380952,1033.5714285714287,3059.5714285714284,113.80934671166006,606.2943712116522,42.087377222222216,11.0,9.0,7.0,38.0
UPZ39,18.0,RAFAEL URIBE URIBE,42,1.0,269931.64285714284,0.2328406960097908,179.4047619047619,7535.0,833.6666666666666,915.9761904761905,2868.2380952380954,130.90393830718347,454.05151950799166,40.15385066666667,12.0,8.0,13.0,32.0
UPZ44,8.0,KENNEDY,42,2.0,720485.1428571428,0.17165653523530533,176.5952380952381,7417.0,562.547619047619,676.4285714285714,2267.1428571428573,113.80934671166006,717.1782524388298,42.087377222222216,13.0,19.0,22.0,38.0
UPZ42,6.0,TUNJUELITO,42,2.0,2698122.4523809524,0.3001475521797831,171.38095238095238,7198.0,943.1428571428571,961.7619047619048,3254.6666666666665,134.71604034389287,715.4875837686786,42.47902622222223,14.0,5.0,10.0,30.0
UPZ100,13.0,TEUSAQUILLO,42,3.0,2353059.6904761903,0.1592721516997261,166.61904761904762,6998.0,474.1904761904762,790.2142857142857,2218.3809523809523,338.9444586581338,619.2725047783815,42.04490588888888,15.0,23.0,17.0,8.0
UPZ13,1.0,USAQUÉN,42,4.0,2633000.8571428573,0.13564219992131743,162.5952380952381,6829.0,460.35714285714283,838.952380952381,2458.190476190476,113.0458825434518,993.7290486823705,41.7932881111111,16.0,25.0,15.0,43.0
UPZ101,13.0,TEUSAQUILLO,42,2.0,381099.5238095238,0.10363693559750138,158.92857142857142,6675.0,323.1904761904762,665.7142857142857,1759.1190476190477,338.9444586581338,585.7825279609085,42.04490588888888,17.0,34.0,24.0,8.0
UPZ45,8.0,KENNEDY,42,2.0,723532.4761904762,0.21174733391265926,152.47619047619048,6404.0,720.5,777.2380952380952,2589.309523809524,113.80934671166006,494.4271638529652,42.087377222222216,18.0,11.0,18.0,38.0
UPZ82,8.0,KENNEDY,42,1.0,1061815.642857143,0.26582888688049655,151.0,6342.0,1305.0,1075.3809523809523,3475.904761904762,113.80934671166006,232.4425136272653,42.087377222222216,19.0,3.0,5.0,38.0
UPZ99,2.0,CHAPINERO,40,2.0,2582701.35,0.12649884951860713,147.775,5911.0,439.75,703.15,1983.95,314.66418368955954,786.7563609795995,42.20146844444445,20.0,27.0,20.0,17.0
UPZ16,1.0,USAQUÉN,42,3.0,2456609.523809524,0.10901779267860053,147.61904761904762,6200.0,305.0952380952381,647.3809523809524,1924.904761904762,113.0458825434518,307.3059115050126,41.7932881111111,21.0,36.0,26.0,43.0
UPZ27,11.0,SUBA,42,2.0,3417185.0714285714,0.24429246779256347,145.57142857142858,6114.0,1001.8095238095239,1064.2619047619048,3246.404761904762,96.28928736615683,1439.888392339698,40.380222,22.0,4.0,6.0,49.0
UPZ43,16.0,PUENTE ARANDA,42,1.0,737518.5714285715,0.12389063602165036,134.73809523809524,5659.0,509.35714285714283,679.452380952381,2003.2142857142858,241.78277109101643,922.4297079567508,41.01226222222223,23.0,21.0,21.0,19.0
UPZ22,12.0,BARRIOS UNIDOS,42,3.0,1026555.3095238095,0.12116563137934466,132.21428571428572,5553.0,468.8095238095238,707.3333333333334,1954.2142857142858,344.8483140041374,774.8722509461871,39.80123933333333,24.0,24.0,19.0,2.0
UPZ34,4.0,SAN CRISTÓBAL,42,1.0,2194755.0,0.2775562729145067,123.57142857142857,5190.0,681.1190476190476,655.0952380952381,2171.309523809524,117.14149801929159,909.926855255046,39.46668344444444,25.0,13.0,25.0,36.0
UPZ24,11.0,SUBA,42,4.0,1172475.7142857143,0.14144098694498025,104.85714285714286,4404.0,340.54761904761904,520.452380952381,1709.452380952381,96.28928736615683,969.6270772649355,40.380222,26.0,32.0,29.0,49.0
UPZ41,16.0,PUENTE ARANDA,42,4.0,1645633.3095238095,0.20471738659032687,104.80952380952381,4402.0,361.23809523809524,558.4285714285714,1657.2619047619048,241.78277109101643,413.2692926384185,41.01226222222223,27.0,31.0,28.0,19.0
UPZ108,16.0,PUENTE ARANDA,42,6.0,2228266.285714286,0.1425784246177424,102.95238095238095,4324.0,259.8095238095238,264.0952380952381,1467.6190476190477,241.78277109101643,713.3143310157485,41.01226222222223,28.0,39.0,43.0,19.0
UPZ65,19.0,CIUDAD BOLÍVAR,42,1.0,450125.2619047619,0.22440370370674212,97.47619047619048,4094.0,457.9761904761905,488.64285714285717,1579.547619047619,81.63190027880492,735.5585394006447,40.28282411111111,29.0,26.0,31.0,55.0
UPZ36,18.0,RAFAEL URIBE URIBE,42,2.0,1032947.9047619047,0.20365558872643352,94.07142857142857,3951.0,384.3333333333333,490.73809523809524,1429.5714285714287,130.90393830718347,552.6440041397555,40.15385066666667,30.0,29.0,30.0,32.0
UPZ107,13.0,TEUSAQUILLO,42,2.0,575243.0476190476,0.12383342293292754,92.47619047619048,3884.0,179.21428571428572,292.9761904761905,957.547619047619,338.9444586581338,749.0837034705896,42.04490588888888,31.0,46.0,40.0,8.0
UPZ54,18.0,RAFAEL URIBE URIBE,42,3.0,1124697.761904762,0.2684852183004964,88.88095238095238,3733.0,665.5,571.8571428571429,1857.2857142857142,130.90393830718347,542.1259177846716,40.15385066666667,32.0,14.0,27.0,32.0
UPZ33,4.0,SAN CRISTÓBAL,42,2.0,1341689.9047619049,0.2393479268423368,85.88095238095238,3607.0,376.1666666666667,390.2857142857143,1317.6904761904761,117.14149801929159,389.74508206843996,39.46668344444444,33.0,30.0,36.0,36.0
UPZ9,1.0,USAQUÉN,42,2.0,1130307.4523809524,0.14332098596173098,85.23809523809524,3580.0,718.1904761904761,814.3333333333334,2272.9523809523807,113.0458825434518,536.9491665645321,41.7932881111111,34.0,12.0,16.0,43.0
UPZ21,12.0,BARRIOS UNIDOS,42,6.0,1560010.5476190476,0.11873918168999859,78.33333333333333,3290.0,221.92857142857142,333.2142857142857,1079.4285714285713,344.8483140041374,620.5841214417092,39.80123933333333,35.0,42.0,38.0,2.0
UPZ35,15.0,ANTONIO NARIÑO,42,3.0,1017618.9761904762,0.15337829137111297,75.5952380952381,3175.0,198.88095238095238,330.26190476190476,933.7619047619048,343.75320840202846,460.6303556210709,41.39465022222223,36.0,44.0,39.0,5.0
UPZ72,10.0,ENGATIVÁ,42,1.0,3045707.761904762,0.20973113688947703,75.04761904761905,3152.0,273.5952380952381,289.6666666666667,1072.2380952380952,149.95929637637732,539.4131117672218,43.08297155555556,37.0,38.0,41.0,24.0
UPZ18,11.0,SUBA,42,1.0,252641.42857142858,0.11735002694503575,74.0,3108.0,316.3095238095238,446.9761904761905,1316.4761904761904,96.28928736615683,836.1299646619782,40.380222,38.0,35.0,32.0,49.0
UPZ12,1.0,USAQUÉN,42,1.0,1359228.4761904762,0.15360065961489575,72.42857142857143,3042.0,328.2857142857143,424.5238095238095,1317.2380952380952,113.0458825434518,757.9623058246959,41.7932881111111,39.0,33.0,34.0,43.0
UPZ53,18.0,RAFAEL URIBE URIBE,42,2.0,1155098.5714285714,0.2406669219469221,67.64285714285714,2841.0,526.2857142857143,445.8809523809524,1438.1904761904761,130.90393830718347,543.5019476947248,40.15385066666667,40.0,20.0,33.0,32.0
UPZ95,3.0,SANTA FE,42,3.0,735057.1666666666,0.1802115356627596,65.80952380952381,2764.0,229.42857142857142,226.64285714285714,775.9285714285714,327.5659301888684,326.5170635354795,40.00542611111111,41.0,41.0,45.0,13.0
UPZ62,6.0,TUNJUELITO,42,1.0,156464.57142857142,0.23345010673804753,65.11904761904762,2735.0,408.7857142857143,405.6190476190476,1252.4761904761904,134.71604034389287,644.4771098339044,42.47902622222223,42.0,28.0,35.0,30.0
