muestra,y,x,n,rho,p
media_por_upz,upz_nuse_orden_publico,dist_cai_mediana_m,58,0.09821895475099203,0.4632497053648215
media_por_upz,upz_nuse_orden_publico,pct_pico_pm_pond,58,-0.07428712048971055,0.5794386940163142
media_por_upz,upz_nuse_violencia,pct_finde_pond,58,0.5090590298071304,4.4917813805366374e-05
media_por_upz,upz_nuse_violencia,pct_nocturno_pond,58,0.3782644806053709,0.0034148531693347136
media_por_upz,upz_nuse_violencia,gini_pond,58,-0.3639299886185364,0.004980786832858723
media_por_upz,upz_nuse_violencia,pct_pico_am_pond,58,-0.26328093758651455,0.04584456245155725
media_por_upz,upz_nuse_violencia,pct_pico_pm_pond,58,-0.25294533821403303,0.055400720710464334
media_por_upz,upz_nuse_violencia,n_estaciones,58,0.2278575706252709,0.08538785950022773
media_por_upz,upz_nuse_violencia,log_flujo_upz,58,0.14485219477683103,0.27797434796836906
media_por_upz,upz_nuse_violencia,flujo_total_upz,58,0.14362176628010706,0.28212033807043035
media_por_upz,upz_nuse_violencia,n_cai_500m_media,58,0.09819499901354542,0.4633593187984795
media_por_upz,upz_nuse_violencia,dist_cai_mediana_m,58,0.07637884893414132,0.5687761057146461
media_por_upz,upz_nuse_violencia,indice_seguridad_nocturna_2019,58,0.05145071195622261,0.7013035811265567
within_upz,upz_nuse_hurto,n_estaciones,2434,-0.13046455199145826,1.0410268859545971e-10
within_upz,upz_nuse_hurto,log_flujo_upz,2434,0.11296776798954879,2.2921774310267923e-08
within_upz,upz_nuse_hurto,flujo_total_upz,2434,0.11100247505449298,4.0072092466780256e-08
within_upz,upz_nuse_hurto,n_cai_500m_media,2434,-0.06507793444029279,0.0013162439616162915
within_upz,upz_nuse_hurto,pct_finde_pond,2434,0.04234872460702393,0.0366930436664641
within_upz,upz_nuse_hurto,dist_cai_mediana_m,2434,0.02788379750606332,0.16906194538850286
within_upz,upz_nuse_hurto,pct_pico_pm_pond,2434,-0.025036163927840405,0.21692994534950275
within_upz,upz_nuse_hurto,pct_nocturno_pond,2434,0.020177347746992834,0.3197113579829606
within_upz,upz_nuse_hurto,gini_pond,2434,-0.016299547367293492,0.42151940284042433
within_upz,upz_nuse_hurto,pct_pico_am_pond,2434,0.013697058749535787,0.4993981800971072
within_upz,upz_nuse_hurto,indice_seguridad_nocturna_2019,2434,,
within_upz,upz_nuse_orden_publico,pct_finde_pond,2434,0.14509562636272996,6.347868229538006e-13
within_upz,upz_nuse_orden_publico,n_estaciones,2434,-0.11561493932022542,1.0640397080929682e-08
within_upz,upz_nuse_orden_publico,pct_pico_pm_pond,2434,-0.08829606759312524,1.2862997023168578e-05
within_upz,upz_nuse_orden_publico,log_flujo_upz,2434,0.0318585124224244,0.11610141195719557
within_upz,upz_nuse_orden_publico,flujo_total_upz,2434,0.029476518189536824,0.1459989478551528
within_upz,upz_nuse_orden_publico,dist_cai_mediana_m,2434,-0.024628632989255363,0.22450796565592201
within_upz,upz_nuse_orden_publico,pct_nocturno_pond,2434,-0.02396750071256383,0.2372005170661089
within_upz,upz_nuse_orden_publico,gini_pond,2434,0.010544418765996936,0.6030898487888835
within_upz,upz_nuse_orden_publico,pct_pico_am_pond,2434,-0.010150874541254967,0.6166843503838343
within_upz,upz_nuse_orden_publico,n_cai_500m_media,2434,-0.0016200416180903378,0.9363289601134918
within_upz,upz_nuse_orden_publico,indice_seguridad_nocturna_2019,2434,,
within_upz,upz_nuse_violencia,n_estaciones,2434,-0.12936339073757147,1.4951086393184737e-10
within_upz,upz_nuse_violencia,pct_finde_pond,2434,0.12046575047946025,2.4929384959768088e-09
within_upz,upz_nuse_violencia,log_flujo_upz,2434,0.07902462790302134,9.507521899069367e-05
within_upz,upz_nuse_violencia,flujo_total_upz,2434,0.07614361666345429,0.00016983199632992208
within_upz,upz_nuse_violencia,pct_pico_pm_pond,2434,-0.07042079215678791,0.0005074680143725951
within_upz,upz_nuse_violencia,pct_nocturno_pond,2434,0.0338289790979946,0.09519811958533737
within_upz,upz_nuse_violencia,gini_pond,2434,-0.026031265539882747,0.1992029963763083
within_upz,upz_nuse_violencia,n_cai_500m_media,2434,-0.019156062018459874,0.3448239323737091
within_upz,upz_nuse_violencia,dist_cai_mediana_m,2434,-0.007512955046677731,0.711031680289757
within_upz,upz_nuse_violencia,pct_pico_am_pond,2434,0.0013404013088421328,0.9473017586559241
within_upz,upz_nuse_violencia,indice_seguridad_nocturna_2019,2434,,
solo_2023_2025,upz_nuse_hurto,n_estaciones,2088,0.40378630865914733,1.0332180741232258e-82
solo_2023_2025,upz_nuse_hurto,pct_finde_pond,2088,0.16996836682278804,5.3266295060230655e-15
solo_2023_2025,upz_nuse_hurto,flujo_total_upz,2088,0.15248150073691846,2.480285418633715e-12
solo_2023_2025,upz_nuse_hurto,log_flujo_upz,2088,0.15248150073691846,2.480285418633715e-12
solo_2023_2025,upz_nuse_hurto,indice_seguridad_nocturna_2019,2088,0.1464286137589958,1.776978817738284e-11
solo_2023_2025,upz_nuse_hurto,pct_pico_am_pond,2088,-0.10037019741091777,4.322484802493724e-06
solo_2023_2025,upz_nuse_hurto,n_cai_500m_media,2088,0.09313452252192654,2.0218238813315476e-05
solo_2023_2025,upz_nuse_hurto,dist_cai_mediana_m,2088,0.08539061609920857,9.356761794859372e-05
solo_2023_2025,upz_nuse_hurto,gini_pond,2088,-0.059484534213324475,0.00654985455210117
solo_2023_2025,upz_nuse_hurto,pct_nocturno_pond,2088,0.03834094193003387,0.07984770986892242
solo_2023_2025,upz_nuse_hurto,pct_pico_pm_pond,2088,-0.00918923707942747,0.674736566589401
solo_2023_2025,upz_nuse_orden_publico,n_estaciones,2088,0.3044711897520119,4.8923964607528255e-46
solo_2023_2025,upz_nuse_orden_publico,pct_finde_pond,2088,0.2598127910420162,1.4695308717881523e-33
solo_2023_2025,upz_nuse_orden_publico,pct_nocturno_pond,2088,0.15664541070719804,6.108100712779753e-13
solo_2023_2025,upz_nuse_orden_publico,flujo_total_upz,2088,0.12409582322455612,1.2769494317094154e-08
solo_2023_2025,upz_nuse_orden_publico,log_flujo_upz,2088,0.12409582322455612,1.2769494317094154e-08
solo_2023_2025,upz_nuse_orden_publico,gini_pond,2088,-0.12292609086104446,1.7497425006114434e-08
solo_2023_2025,upz_nuse_orden_publico,pct_pico_am_pond,2088,-0.11570707697284517,1.1463946552804693e-07
solo_2023_2025,upz_nuse_orden_publico,n_cai_500m_media,2088,0.10563433307692104,1.3143473121289122e-06
solo_2023_2025,upz_nuse_orden_publico,indice_seguridad_nocturna_2019,2088,0.1031041735496653,2.34603547935807e-06
solo_2023_2025,upz_nuse_orden_publico,pct_pico_pm_pond,2088,-0.08254169604626756,0.0001594316590163633
solo_2023_2025,upz_nuse_orden_publico,dist_cai_mediana_m,2088,0.07938552040693177,0.00028226830384598664
solo_2023_2025,upz_nuse_violencia,pct_finde_pond,2088,0.39396787079917056,1.754850545962483e-78
solo_2023_2025,upz_nuse_violencia,pct_nocturno_pond,2088,0.37769508835666815,8.82896389680785e-72
solo_2023_2025,upz_nuse_violencia,gini_pond,2088,-0.32638784098958445,5.05450618901946e-53
solo_2023_2025,upz_nuse_violencia,pct_pico_am_pond,2088,-0.22762633011432915,6.044551321562668e-26
solo_2023_2025,upz_nuse_violencia,pct_pico_pm_pond,2088,-0.22715753398417768,7.657425361568927e-26
solo_2023_2025,upz_nuse_violencia,n_estaciones,2088,0.21014764182739615,2.8583631268495617e-22
solo_2023_2025,upz_nuse_violencia,flujo_total_upz,2088,0.13206380253310354,1.3821646735662097e-09
solo_2023_2025,upz_nuse_violencia,log_flujo_upz,2088,0.13206380253310354,1.3821646735662097e-09
solo_2023_2025,upz_nuse_violencia,n_cai_500m_media,2088,0.07834611847994342,0.0003391991557253013
solo_2023_2025,upz_nuse_violencia,dist_cai_mediana_m,2088,0.07296650933143553,0.0008480078003239505
solo_2023_2025,upz_nuse_violencia,indice_seguridad_nocturna_2019,2088,0.0449279760418051,0.040094422781657424
sin_portales,upz_nuse_hurto,n_estaciones,2245,0.39130126297111073,4.864601817682087e-83
sin_portales,upz_nuse_hurto,flujo_total_upz,2245,0.3652368573992909,8.461648381398539e-72
sin_portales,upz_nuse_hurto,log_flujo_upz,2245,0.3652368573992909,8.461648381398539e-72
sin_portales,upz_nuse_hurto,pct_finde_pond,2245,0.22561846356082504,2.6488135927354988e-27
sin_portales,upz_nuse_hurto,indice_seguridad_nocturna_2019,2245,0.20695175098434196,3.8559684287150594e-23
sin_portales,upz_nuse_hurto,gini_pond,2245,-0.20068653916680018,7.889804103261148e-22
sin_portales,upz_nuse_hurto,pct_pico_am_pond,2245,-0.17667873559698827,3.3676750304427585e-17
sin_portales,upz_nuse_hurto,n_cai_500m_media,2245,0.15756608591116752,5.981052875365453e-14
sin_portales,upz_nuse_hurto,pct_nocturno_pond,2245,0.12668586186412528,1.7068760058447318e-09
sin_portales,upz_nuse_hurto,pct_pico_pm_pond,2245,-0.09112613304457098,1.530299569792452e-05
sin_portales,upz_nuse_hurto,dist_cai_mediana_m,2245,0.004695091149746986,0.8240511878226553
sin_portales,upz_nuse_orden_publico,pct_finde_pond,2245,0.3246436301838738,2.9430247568258626e-56
sin_portales,upz_nuse_orden_publico,gini_pond,2245,-0.272816617008448,1.3085919219653974e-39
sin_portales,upz_nuse_orden_publico,pct_nocturno_pond,2245,0.2687189574548274,1.948121244521533e-38
sin_portales,upz_nuse_orden_publico,flujo_total_upz,2245,0.26435040601972964,3.2933141288193054e-37
sin_portales,upz_nuse_orden_publico,log_flujo_upz,2245,0.26435040601972964,3.2933141288193054e-37
sin_portales,upz_nuse_orden_publico,n_estaciones,2245,0.24836777735532786,6.556959502797132e-33
sin_portales,upz_nuse_orden_publico,pct_pico_am_pond,2245,-0.18438908973390536,1.2811237109257513e-18
sin_portales,upz_nuse_orden_publico,indice_seguridad_nocturna_2019,2245,0.17570526494436908,5.036135776295116e-17
sin_portales,upz_nuse_orden_publico,n_cai_500m_media,2245,0.15846681366791715,4.2873241282301866e-14
sin_portales,upz_nuse_orden_publico,pct_pico_pm_pond,2245,-0.15695146818955738,7.498233822237042e-14
sin_portales,upz_nuse_orden_publico,dist_cai_mediana_m,2245,0.00110964585581809,0.9580925732330836
sin_portales,upz_nuse_violencia,pct_nocturno_pond,2245,0.45158263603307425,3.0884040603409227e-113
sin_portales,upz_nuse_violencia,pct_finde_pond,2245,0.44511237246494756,1.07856871569995e-109
sin_portales,upz_nuse_violencia,gini_pond,2245,-0.43944212583132836,1.1896479665923935e-106
sin_portales,upz_nuse_violencia,pct_pico_am_pond,2245,-0.2759614062407734,1.5954271746815813e-40
sin_portales,upz_nuse_violencia,pct_pico_pm_pond,2245,-0.25450324463910895,1.5924376438476352e-34
sin_portales,upz_nuse_violencia,flujo_total_upz,2245,0.1829581526586885,2.3760384264098128e-18
sin_portales,upz_nuse_violencia,log_flujo_upz,2245,0.1829581526586885,2.3760384264098128e-18
sin_portales,upz_nuse_violencia,n_estaciones,2245,0.16248136362294716,9.495499725752408e-15
sin_portales,upz_nuse_violencia,n_cai_500m_media,2245,0.13450886608972065,1.5663250151123233e-10
sin_portales,upz_nuse_violencia,indice_seguridad_nocturna_2019,2245,0.1198792468646738,1.2161719072629548e-08
sin_portales,upz_nuse_violencia,dist_cai_mediana_m,2245,-0.01642518087040031,0.43664706494686706
