upz_id,anio,mes,n_estaciones,n_portales,flujo_total_upz,validaciones_upz,salidas_upz,dist_cai_mediana_m,n_cai_500m_media,upz_nuse_hurto,upz_nuse_violencia,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_total,loc_nuse_hurto,loc_nuse_violencia,loc_nuse_total,poblacion_localidad,loc_tasa_nuse_hurto_100k_hab,loc_tasa_nuse_violencia_100k_hab,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019,cod_localidad,localidad,pct_nocturno_pond,pct_finde_pond,pct_pico_am_pond,pct_pico_pm_pond,gini_pond,log_flujo_upz,periodo
UPZ10,2023,1,1,1,3465755.0,1583640.0,1882115.0,177.7828067856346,1.0,29.0,125.0,141.0,217.0,512.0,660.0,2531.0,10327.0,585076.0,112.80585770053804,432.59337248494217,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1803563725652852,0.2205106823765673,0.2448632404771832,0.1681642239569733,0.2861010616608853,15.058441060088754,2023-01
UPZ10,2023,2,1,1,3983681.0,1900159.0,2083522.0,177.7828067856346,1.0,39.0,141.0,130.0,204.0,514.0,645.0,2553.0,10574.0,585076.0,110.242088207344,436.3535677416267,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.18904249612356,0.195276177987143,0.2550794102238607,0.16071166340879203,0.2830362414421205,15.197716824199706,2023-02
UPZ10,2023,3,1,1,4489185.0,2178612.0,2310573.0,177.7828067856346,1.0,31.0,194.0,146.0,211.0,582.0,703.0,2727.0,10950.0,585076.0,120.15533024769432,466.0932938626777,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1922705346293369,0.1870241480357793,0.2550828268382791,0.1623582008761055,0.2840060966270576,15.317181728766077,2023-03
UPZ10,2023,4,1,1,3868303.0,1859534.0,2008769.0,177.7828067856346,1.0,32.0,185.0,171.0,203.0,591.0,740.0,2791.0,11743.0,585076.0,126.47929499757296,477.0320437003056,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1897281572824052,0.2668834370006693,0.2471944415936393,0.1601738540129871,0.2745141321839928,15.16832646754417,2023-04
UPZ10,2023,5,1,1,4322832.0,2070833.0,2251999.0,177.7828067856346,1.0,43.0,230.0,159.0,271.0,703.0,771.0,3254.0,12955.0,585076.0,131.777751950174,556.1670620568951,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1883364886722408,0.2118199365601069,0.2530847833087198,0.1627002853684806,0.2820440520515811,15.279421300993167,2023-05
UPZ10,2023,6,1,1,3856362.0,1855109.0,2001253.0,177.7828067856346,1.0,33.0,157.0,183.0,197.0,570.0,697.0,2798.0,11562.0,585076.0,119.1298224504167,478.2284694637961,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1895963086452983,0.2334951957311061,0.2459660166758203,0.1635079901731217,0.2774862624100295,15.165234809974203,2023-06
UPZ10,2023,7,1,1,3824095.0,1880343.0,1943752.0,177.7828067856346,1.0,28.0,142.0,178.0,242.0,590.0,712.0,2523.0,11549.0,585076.0,121.69359194361074,431.2260287552386,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1882840253707086,0.28795309739951547,0.245037061056276,0.1621520908868634,0.2754119923167179,15.156832395941079,2023-07
UPZ10,2023,8,1,1,4294960.0,2095859.0,2199101.0,177.7828067856346,1.0,26.0,129.0,127.0,198.0,480.0,619.0,2240.0,9999.0,585076.0,105.79822108580764,382.8562443169776,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1867314247396949,0.2105109244323579,0.2517343584107884,0.1645959450146218,0.2839032081204128,15.272952800202294,2023-08
UPZ10,2023,9,1,1,4398782.0,2114098.0,2284684.0,177.7828067856346,1.0,26.0,170.0,173.0,220.0,589.0,692.0,2796.0,12721.0,585076.0,118.275232619352,477.8866335313703,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1869979007825348,0.2143657039607782,0.2528690896707316,0.1631594836934406,0.2838444692828996,15.296838242385446,2023-09
UPZ10,2023,10,1,1,4331704.0,2076832.0,2254872.0,177.7828067856346,1.0,38.0,168.0,191.0,212.0,609.0,703.0,2835.0,12220.0,585076.0,120.15533024769432,484.5524342136748,9046.0,4968.0,39367.0,41.7932881111111,1.0,USAQUÉN,0.1864028567048902,0.2188328196017087,0.24934898598796218,0.1638812347288734,0.2816860397273869,15.281471556051978,2023-10
