No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
11;Subgerencia General;"Acuerdo 4 de 1999 ""Por el cual se autoriza al Alcalde Mayor en representación del Distrito Capital para participar, conjuntamente con otras entidades del Orden Distrital, en la Constitución de la Empresa de Transporte del Tercer Milenio - TransMilenio S.A. y se dictan otras disposiciones"". ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en la Asamblea General.;Español ;X;X;;Papel/;PDF;X;;ACTAS;Actas de Asamblea General ;"Las Actas de Asamblea General registran todas las decisiones y compromisos adoptados por los representantes de las entidades públicas distritales que conforman los accionistas de Transmilenio S.A. acerca de cualquier modificación del contrato social; la aprobación o improbación de los balances de fin de ejercicio; disposición de las utilidades que resulten conforme al balance general aprobado por ella; nombramiento o remoción del Revisor Fiscal; gestión financiera de acciones propias, y autorización de la participación en sociedades para el desarrollo de actividades o negocios comprendidos dentro del objeto social.";;X;;Subgerencia General/Dirección Corporativa  -Profesional Gestión Documental/;Disponible ;Subgerencia General/Archivo de Gestion Centralizado y SGDE;
12;Subgerencia General;"Resolución No. 521del03 de Junio de 2015 ""Por la cual se  modifica parcialmente la resolucion  489 del 19 de agosdto de 2014 que modifica y actualiza el Comité de Gerencia de la Integración  y se establece el apoyo al seguimiento y supervision especial de los contratos de conseción.";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Gerencia de la Integración.;Español ;X;X;;Papel;PDF;X;;ACTAS;Actas de Comité de la Integración ;Las Actas de Comité de Gerencia de la Integración contienen las deliberaciones, del Comité en torno a la toma de decisiones de carácter técnico, jurídico, económico, de negocios y comunicacional sobre los procesos de planeación, funcionamiento y control de todos los sistemas de transporte público - SITP y del Sistema de Recaudo, Control de Flota e Información al Usuario - SIRCI en cualquiera de sus componentes y la supervisión y aprobación del desarrollo integral de los contratos de concesión, con base en los informes técnicos y operativos emitidos por las Direcciones Operativas de la Empresa y el  apoyo a la supervisión mediante los procesos De regularización. ;X;;;Subgerencia General;Disponible ;Subgerencia General/Archivo de Gestion Centralizado y SGDE;
13;Subgerencia General;"Acuerdo 4 de 1999 ""Por el cual se autoriza al Alcalde Mayor en representación del Distrito Capital para participar, conjuntamente con otras entidades del Orden Distrital, en la Constitución de la Empresa de Transporte del Tercer Milenio - TransMilenio S.A. y se dictan otras disposiciones"". ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en la Junta Directiva.;Español ;X;X;;Papel;PDF;X;;ACTAS;Actas de Junta Directiva   ;"Las Actas de Junta Directiva contienen información acerca de la formulación de la política general de la empresa y del transporte masivo; la aprobación del proyecto de presupuesto de la sociedad, el  análisis de los balances de prueba, el informe de la administración y el proyecto sobre distribución de utilidades y la formulación de las políticas relativas a la fijación de las tarifas para la prestación del servicio público de transporte masivo en autobús.";;X;;Subgerencia General;Disponible ;Subgerencia General/Archivo de Gestion Centralizado ;
14;Subgerencia General;"Acuerdo 4 de 1999 ""Por el cual se autoriza al Alcalde Mayor en representación del Distrito Capital para participar, conjuntamente con otras entidades del Orden Distrital, en la Constitución de la Empresa de Transporte del Tercer Milenio - TransMilenio S.A. y se dictan otras disposiciones"". ";;N/A;N/A;Acuerdo ;Acto administrativo por el cual la Junta Directiva establece cambios o aprueba  desiciones competentes a la entidad. ;Español ;X;X;;Papel;PDF;X;;ACUERDOS DE JUNTA DIRECTIVA  ;;Los Acuerdos de Junta Directiva contienen información acerca de los cambios en la estructura interna de la empresa, donde se crean dependencias y se asignan funciones, modificaciones en su planta de personal, el régimen de remuneraciones y la clasificación de los empleos. Además de aprobar el reglamento de contratación  por el cual se regirá la entidad.;X;;;Subgerencia General;Disponible ;Subgerencia General/Archivo de Gestión Centralizado ;
15;Subgerencia General;"Acuerdo 4 de 1999 ""Por el cual se autoriza al Alcalde Mayor en representación del Distrito Capital para participar, conjuntamente con otras entidades del Orden Distrital, en la Constitución de la Empresa de Transporte del Tercer Milenio - TransMilenio S.A. y se dictan otras disposiciones"". ";;N/A;N/A;Estatutos;Conjunto de documentos mediante los cuales fue constituida la empresa , su objeto social , ubicación , normas legales por las que se regula el funcionamiento entre otras cosas. ;Español ;X;X;;Papel;PDF;;X;ESTATUTOS ;;Los Estatutos son actos administrativos que documentan las normas por las que se rigen los asuntos internos de la empresa. Definen la denominación oficial de la sociedad, su propósito, los requisitos para ser miembro, los cargos y responsabilidades de los encargados, cómo se asignan las funciones, cómo se dirigen las reuniones de la Junta Directiva y la Asamblea General de Accionistas, y con cuánta frecuencia deben realizarse.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
16;Dirección de TIC ;Manual  de Políticas de seguridad y privacidad de la Información mediante el cual se busca stablecer y comunicar las políticas complementarias alineadas a la política de alto nivel del Sistema de Gestión de Seguridad de la Información - SGSI de TRANSMILENIO S.A., en pro de gestionar adecuadamente la integridad, confidencialidad y disponibilidad de los activos de información, en el marco de la norma NTC/ISO 27001:2013 y su Anexo A. ;;M-DT-001;;Expediente de seguridad de la informacion ;Registros de backup de Bases de datos administrativas, Reportes de Incidentes de Seguridad de la Información, Matriz de Riesgos de Seguridad de la Información;Español ;X;;X;CD, DVD, DISCO DURO;WORD, PDF, HOJA DE CALCULO, TIFF, JPG, JPEG.;X;X;INSTRUMENTOS DEL SISTEMA DE SEGURIDAD DE LA INFORMACIÓN ;;Documentos que soportan las politicas, acrtividades y seguimientn realizado al control de la seguridad de la información en la entidad;;;X (Los backup pueden contener información personal, información en proceso antes de publicación);Dirección Corporativa  -Profesional Gestión Documental ;Disponible a Entes de Control;Archivo de gestión Dirección Corporativa;
17;Dirección de TIC ;Plan Estratégico de Tecnologías de la Información y Comunicaciones – PETI ;;T-DT-005;;Plan;Instrumento de planificación y gestión financiera de mediano plazo. Para su elaboración se tomarán en consideración las proyecciones de ingresos, gastos, superávit o déficit y su financiamiento.;Español ;X;;X;Archivos digital/Papel;word/PDF ;X;;PLANES ;Planes Estratégicos de Tecnologías de la Información y las Comunicaciones (PETI);Documento que contiene el Plan Estrategico de Técnologías de Información y las Comunicaciones, en este plan busca alinear los conceptos y objetivos del Plan Estratégico de TRANSMILENIO S.A., así como permitir la actualización y crecimiento de la entidad mediante su infraestructura tecnológica y de sistemas. ;X;;;Gestión de TIC;Disponible  a los dueños de la información ;Archivo de gestión Dirección Corporativa;
18;Dirección de TIC ;Plan Estratégico de Seguridad de la Información – PESI ;;T-DT-006;;Plan;Instrumento de planificación y gestión financiera de mediano plazo. Para su elaboración se tomarán en consideración las proyecciones de ingresos, gastos, superávit o déficit y su financiamiento.;Español ;X;;X;Archivos digital/Papel;word/PDF ;X;;PLANES ;Planes Estratégicos de Seguridad de la Información (PESI) ;Documento que contiene la descripción de la estrategia de seguridad de la información que adopta la entidad de manera periodica. ;X;;;Gestión de TIC;Disponible  a los dueños de la información ;Archivo de gestión Dirección Corporativa;
19;Dirección de TIC ;"Artículos 37 al 46 de la Resolución 305 de 2008 «Por la cual se expiden políticas públicas para las entidades, organismos y órganos de control del Distrito Capital, en materia de Tecnologías de la Información y Comunicaciones respecto a la planeación, seguridad, democratización, calidad, racionalización del gasto, conectividad, infraestructura de Datos Espaciales y Software Libre».  Directiva Presidencial 02 del 02 de Febrero de 2002. Asunto:
Respeto al derecho de autor y los derechos conexos, en lo referente a utilización de programas de ordenador (software).";;P-DT-013;N/A;Proyecto ;Documento que describe  el proyecto a realizar ;Español ;X;;X;Archivos digital/Papel;word/PDF ;X;;Proyectos ;Proyectos de diseño, desarrollo e implementación de soluciones informáticas;Conjunto  de documetos que contienen la planeación y estructuración de los parámetros de proyectos de tecnologia. ;X;;;Gestión de TIC;Disponible  a los dueños de la información ;Archivo de gestión Dirección Corporativa;
20;Dirección Corporativa ;"Resolución No. 123 del 21 de febrero de 2020 ""Por la cual se crea el Comité de Gestión para el Desarrollo para los trabajadores oficiales de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO  - TRANSMILENIO S.A."" ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Gestión para el Desarrollo para los trabajadores oficiales.;Español ;X;;;Papel;N/A;X;;ACTAS;Actas del Comité de Gestión para el Desarrollo para los trabajadores oficiales ;Las Actas del Comité de Gestión para el Desarrollo para los trabajadores oficiales registran las deliberaciones y decisiones en torno al reconocimiento de los trabajadores que por su buena gestión puedan recibir estímulos e incentivos, dirimir las diferencias que se puedan presentar en el proceso de valoración de competencias y desempeño por objetivos y la definición de criterios para promover una cultura de orientación a resultados, innovación y desempeño superior en la empresa.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de Gstión Dirección Corporativa;
