No. ;Dependencia ;Norma, función o proceso;; Código del Procedimiento;" Código del
 Formato";"(Tipo documental)
Nombre del registro o documento de archivo";"(Tipo documental)
Definición";"(Tipo documental)
Idioma ";Análogo;Digital;Electrónico;Descripción del Soporte;Presentación de la información (formato);"(Tipo de origen) 
Interno";"(Tipo deorigen)
Externo";Serie; Subserie;Descripción de la categoría de información ;Pública;Clasificada;Reservada ;Custodio de la información ;Estado de la información ;Localización del documento o del activo de información ;
31;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador
Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER
MILENIO - TRANSMILENIO S.A.´

";;N/A;N/A;Expediente contractual ;Conjunto de documentos que registran la ejecucion precontractual, contractual y poscontractual ;Español ;X;X;X;Papel;PPDF;;;CONTRATOS;Contratos Adminsitrativos ;Acuerdo jurídico de voluntades por el que se exige el cumplimiento de unos terminos y ocndiciones pactadas. Es un acuerdo jurídico entre dos o más partes que genera derechos y obligaciones.;;;;Dirección Administrativa -Profesional Gestión Documental ;;;
32;Dirección Corporativa ;Manual para la selección o nombramiento, vinculación y desvinculación de servidores públicos de TRANSMILENIO S.A.;;M-DA-016;N/A;Expediente de convocatoria  Interna ;Información que es producida en desarrollo de las convocatorias internas de la entidad ;Español ;X;X;;Papel;;X;;CONVOCATORIAS DE SELECCIÓN DE PERSONAL ;Convocatorias Internas ;"Las CONVOCATORIAS DE SELECCIÓN DE PERSONAL documentan el proceso de reclutamiento y selección de personal es un conjunto de etapas que tienen como objetivo el reclutar y seleccionar al personal más idóneo para un puesto de trabajo en la empresa. La categoría de empleados de Transmilenio S.A. es la de trabajadores oficiales.
Éste empieza con la definición del perfil del postulante, y continúa con la búsqueda, reclutamiento o convocatoria de postulantes, la evaluación de éstos, la selección y contratación del más idóneo, y la inducción y capacitación de éste.
";X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
33;Dirección Corporativa ;Manual para la selección o nombramiento, vinculación y desvinculación de servidores públicos de TRANSMILENIO S.A.;;M-DA-016;N/A;Documentos del  proceso de selección        ;Información que es producida en desarrollo de las convocatorias mixtas de la entidad ;Español ;X;X;;Papel;;X;;CONVOCATORIAS DE SELECCIÓN DE PERSONAL ;Convocatorias Mixtas;"Las CONVOCATORIAS DE SELECCIÓN DE PERSONAL documentan el proceso de reclutamiento y selección de personal es un conjunto de etapas que tienen como objetivo el reclutar y seleccionar al personal más idóneo para un puesto de trabajo en la empresa. La categoría de empleados de Transmilenio S.A. es la de trabajadores oficiales.
Éste empieza con la definición del perfil del postulante, y continúa con la búsqueda, reclutamiento o convocatoria de postulantes, la evaluación de éstos, la selección y contratación del más idóneo, y la inducción y capacitación de éste.
";X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
34;Dirección Corporativa ;Manual para la selección o nombramiento, vinculación y desvinculación de servidores públicos de TRANSMILENIO S.A.;;M-DA-016;N/A;Documentos del  proceso de selección        ;Documento que evidencia las tareas que se llevaran a cabo ;Español ;X;X;;Papel;PDF;X;;CONVOCATORIAS DE SELECCIÓN DE PERSONAL ;Convocatorias Abiertas;"Las CONVOCATORIAS DE SELECCIÓN DE PERSONAL documentan el proceso de reclutamiento y selección de personal es un conjunto de etapas que tienen como objetivo el reclutar y seleccionar al personal más idóneo para un puesto de trabajo en la empresa. La categoría de empleados de Transmilenio S.A. es la de trabajadores oficiales.
Éste empieza con la definición del perfil del postulante, y continúa con la búsqueda, reclutamiento o convocatoria de postulantes, la evaluación de éstos, la selección y contratación del más idóneo, y la inducción y capacitación de éste.
";X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
35;Dirección Corporativa ;Manual de Inventarios;;M-DA-002;;Comprobante de ingreso al almacén      ;Documento generado en el SP7 donde consta la asignación de un codigo de ingreso de almacen a los bienes adquiridos. ;Español ;X;;X;Papel /PDF;SP7;X;;COMPROBANTES DE ALMACEN;Comprobantes de ingreso de bienes;Los MOVIMIENTOS DE ALMACÉN registran los comprobantes de entrada al almacén y los soportes anexos, de acuerdo con la modalidad de adquisición del bien, y además los documentos que se constituyen en la evidencia del retiro de un bien de propiedad de la Empresa.;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
36;Dirección Corporativa ;Manual de Inventarios;;M-DA-002;;Comprobante de salida de almacén;Documento generado por el aplicativo JP7 donde consta la asignación del bien a un funcionario. ;Español ;X;;X;Papel /PDF;SP7;X;;COMPROBANTES DE ALMACEN;Cpmprobantes de Salida de bienes     ;Los MOVIMIENTOS DE ALMACÉN registran los comprobantes de entrada al almacén y los soportes anexos, de acuerdo con la modalidad de adquisición del bien, y además los documentos que se constituyen en la evidencia del retiro de un bien de propiedad de la Empresa.;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
37;Dirección Corporativa ;Resolución 021 del 09 de enero de 2020, mediante la cual se modifica el Procedimiendo para el manejo de caja menor .;;P-DA-005;N/A;Comprobante  de Gasto  Caja Menor ;Documentos en los que se relacionan las operaciones de la caja menor y los procesos de apertura, ejecución, reembolso y de legalización. ;Español ;X;;;Papel;N/A;X;;LIBROS AUXILIARES DE CAJA MENOR;;Está en la guia transversal como Libros auxiliares de caja menor, por lo que no necesita ficha de valoración;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
38;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;N/A;N/A;Acto administrativo de expropiación o Escritura de compra, certificado catastral, certificado de libertad, acta de recibo, impuesto predial. ;Documentos que dan cuenta de la adquisición de un predio. ;Español ;X;;;Papel;N/A;X;;HISTORIALES ;Historiales de Predios ;Las Historias de Predios documentan las actividades de TransMilenio S.A. en orden a mantener una fuente de información que permita a lo largo del tiempo conocer el comportamiento de sus propiedades inmobiliarias, presenta información sobre el precio de la propiedad raíz afectado por variables como la ubicación de los inmuebles, tipo de inmueble, uso al cual ha sido destinado. También proporciona datos acerca de la forma de tenencia de los bienes: comodato, arrendamiento o propiedad.;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
39;Dirección Corporativa ;"Ley 594 de 2000 ""POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS Y SE DICTAN OTRAS DISPOSICIONES""

Circular N° 004 de 2003 Expedida por el Archivo General de la Nación.

Circular N° 012 de 2004 Expedida por el Departamento Administrativo de la Función Publica. ";;N/A;N/A;Expediente laboral;Conjunto de documentos  generados durante la trayectoria laboral de un empleado en la entidad. ;Español ;X;X;X;Papel;WORD/PDF ;;;HISTORIAS LABORALES ;;Serie documental de acceso reservado que contienen toda la información que se produce sobre la vinculación y trayectoria laboral de los servidores públicos.;;;X;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
40;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;P-DA-006;N/A;Informe;Informe comisiones al exterior o interior.;Español ;X;X;X;Papel;WORD/PDF ;X;;INFORMES ;Informes de Comisiones de Servicios y/o Estudios  ;Los Informes de Comisiones de Servicios y Estudios documentan el trámite que hace el trabajador oficial de Transmilenio S.A. para acceder a una Comisión de servicios, Comisión para adelantar estudios, y Comisión para atender invitaciones de gobiernos extranjeros, de organismos internacionales o de instituciones privadas.;X;;;Dirección Administrativa -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
41;Dirección Corporativa ;Manual de Inventarios;;M-DA-002;N/A;Inventario de bienes inmuebles y muebles de la entidad;Documento que describe los bienes  de propiedad de la empresa. ;Español ;;;X;Aplicativo JSP7/SERVER FILE;PDF ;X;;INVENTARIOS;Inventarios de Bienes Inmuebles           ;"Los  Inventarios documentan los registros de inventarios permanentes y actualizados sobre la existencia de bienes en el almacén, involucran tanto los devolutivos como los de consumo; estos registros se llevan a través del Sistema Administrativo y Financiero – SIAF. Como mecanismo para el control de inventarios la Entidad dispone de informes del inventario que están clasificados en  bienes de consumo en depósito, bienes devolutivos en depósito, bienes devolutivos en servicio, bienes inmuebles, bienes devolutivos entregados a través de contratos de comodato, interadministrativos o de uso, bienes recibidos de terceros a través de contratos de comodato, administración o custodia, registrados en cuentas de orden y bajo control administrativo, e inventario de hardware y software (adquirido en propiedad y en producción y desarrollo) cada informe especifica por separado el estado de los bienes (inservibles o aptos de reparación).";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo Server File Apoyo Logístico ;
42;Dirección Corporativa ;"Ley 594 de 2000 ""POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS Y SE DICTAN OTRAS DISPOSICIONES""

Acuerdo 038 de 2002 ecpedido por el Archivo General de la Nación ";;M-DA -001;N/A ;Inventarios documentos ;Formato en el que se relacionan los expdientes de cada una una de las dependencias de la entidad. ;Español ;X;X;;Papel ;Excel/PDF;X;;INVENTARIOS;Inventarios Documentales;Conjunto de documentos que describe la relación sistemática y detallada de las unidades documentales existentes en los archivos,;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
43;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador
Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER
MILENIO - TRANSMILENIO S.A.´

";;M-DA-010;N/A;Expediente contable ;Aquellos documentos donde se refleja y se plasma toda la información económica, financiera y contable de la entid;Español ;X;;X;Papel ;Excel/PDF;X;;LIBROS CONTABLES ;Libros auxiliares ;Libros de contabilidad donde se registran en forma analítica y detallada los valores e información registrada en los libros principales.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
44;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador
Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER
MILENIO - TRANSMILENIO S.A.´

";;M-DA-009;N/A;Expediente contable ;Aquellos documentos donde se refleja y se plasma toda la información económica, financiera y contable de la entid;Español ;X;;X;Papel ;Excel/PDF;X;;LIBROS CONTABLES ;Libros de  diario;Es un documento que regristra de forma cronológica las transacciones económicas que una empresa realiza. Estas transacciones están relacionadas con la actividad principal de la Entidad ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
45;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador
Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER
MILENIO - TRANSMILENIO S.A.´

";;M-DA-010;N/A;Expediente contable ;quellos documentos donde se refleja y se plasma toda la información económica, financiera y contable de la entid;Español ;X;;X;Papel ;Excel/PDF;X;;LIBROS CONTABLES ;Libros Mayores;El libro mayor es un documento que recoge de manera cronológica todas las operaciones contables de la empresa registradas en cada una de las cuentas;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
46;Direccion de Control  Diciplinario Interno;"Ley 734 de 2002, por la cual se expide el Código Disciplinario Único. Artículos 34-Deberes y 35-Prohibiciones; Ley 1474 de 2011 Por la cual se dictan normas orientadas a fortalecer los mecanismos de prevención, investigación y sanción de actos de corrupción y la efectividad del control de la gestión pública.";;N/A;N/A;Procesos Disciplinarios ;Procesos Disciplinarios ;Español ;X;X;X;Papel;PDF;;;PROCESOS ;Procesos Disciplinarios ;Documentos internos que dan cuenta del seguimiento e investigacion  que reraliza la endad para esclarecer los hechos relacionados con presuntas irregularidades y/o faltas cometidas por los trabajadores en el desarrollo del contrato de trabajo.;X;X;X;Dirección de Control Disciplinario Interno/Dirección Corporativa  - Gestión Documental ;Disponible ;Oficina de Control Disciplinario Interno/Archivo de gestión Dirección Corporativa;
47;Dirección Corporativa ;Manual para la Gestión de Tesorería en TRANSMILENIO S.A.;;M-DA-009;N/A;Plan      ;Programación de los ingresos a recibir y gastos a realizar en una vigencia, discriminandolos de manera mensual. ;Español ;;;X;Electronico ;Excel/PDF;X;;PROGRAMAS ;Programas Anuales Mensualizados de Caja PAC;El Plan Anual de Caja documenta el proceso mediante el cual se define el monto máximo mensual de fondos disponibles en la Cuenta Única distrital y el monto máximo de pagos en lo que se refiere a sus propios ingresos (Recursos Propios), con el fin de cumplir sus compromisos.;electronico;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
48;Dirección Corporativa ;"RESOLUCIÓN N° 806 DE 2021 del 20 de diciembre de 2021
 ""Por medio de la cXal se modifica, actualiza y consolida el Manual Específico de Funciones y Requisitos por Competencias Laborales para desempeñar los empleos de Trabajador Oficial de la planta de personal de la EMPRESA DE TRANSPORTE DEL TERCER MILENIO - TRANSMILENIO S.A.´

";;M-DA-003;N/A;Expediente de nomina ;Documetos que reportan los  pagos que se realizan a los trabajadores con vinculo laboral directo. ;Español ;X;;X;Papel ;Excel/PDF;;;NOMINA ;;Documentos  que indican la cantidad de dinero que una empresa le paga a cada trabajador. La nomina esta compuesta no solo por el registro del pago sino por los soportes correspondientes al mismo. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
49;Dirección Corporativa ;Manual para la Gestión de Tesorería en TRANSMILENIO S.A.;;P-DA-011;N/A;Plan   ;Instrumento de planificación y gestión financiera de mediano plazo. Para su elaboración se tomarán en consideración las proyecciones de ingresos, gastos, superávit o déficit y su financiamiento.;Español ;X;;X;Papel;Excel/PDF;X;;Planes ;Planes Financieros Plurianuales;El Plan Financiero Plurianual consolida la información por dependencia, anexando los soportes de las proyecciones tanto de ingresos como de gastos, de acuerdo con las necesidades expresadas por las áreas. Teniendo en cuenta los lineamientos de política presupuestal y los supuestos macroeconómicos definidos por la Administración Distrital para el mediano plazo. El Plan se genera al principio de cada vigencia administrativa de cuatro años y se verifica su ejecución anualmente.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
50;Dirección Corporativa ;Manual del Sistema de Gestión de Seguridad y Salud en el Trabajo (SG-SST);;M-DA-005;N/A;Plan ;Documento para alcanzar cada uno de los objetivos propuestos en el Sistema: de Gestión de la Seguridad y Salud en el Trabajo SG-SST, el cual debe identificar claramente metas, responsabilidades, recursos y cronograma de actividades, en concordancia con los estándares mínimos del Sistema Obligatorio de Garantía de Calidad del Sistema General de Riesgos Laborales;Español ;;;X;Papel ;HOJA DE CALCULO;X;;Planes ;Planes de Trabajo Anuales del Sistema de Gestión de  Seguridad y Salud en el Trabajo SG-SST;El Plan de Trabajo Anual del Sistema de Gestión de la Seguridad y Salud en el Trabajo SG-SST identifica las metas, responsabilidades, recursos y cronograma de actividades, en concordancia con los estándares mínimos del Sistema Obligatorio de Garantía de Calidad del Sistema General de Riesgos Laborales.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
51;Dirección Corporativa ;"Ley 594 de 2000 ""POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS Y SE DICTAN OTRAS DISPOSICIONES""

Acuerdo 004 de 2019  Emanado por el Archivo General de la Nación ";;N/A;N/A;Tabla  de retencion documental ;Documento donde se registran series y subseries de los documentos producidos por la entidad. ;Español ;X;X;X;Papel y electronico ;Excel/PDF;X;;INSTRUMENTOS ARCHIVÍSTICOS;Tabla de Retención Documental;Docuementos que registran las series, subseries documentales de los documentos producidos por la entidad asi como sus tiempos de retencion en cada uno de las fases del archivo. Alli tambien se agrupan los soportes y evidencias de aprobación y adopción;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
52;Dirección Corporativa ;"Ley 594 de 2000 ""POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS Y SE DICTAN OTRAS DISPOSICIONES""

Acuerdo 002 de 2004  Emanado por el Archivo General de la Nación ";;N/A;N/A;Tabla  de Valoración documental ;Documento donde se registran agrupaciones documentales;Español ;X;X;;papel ;Excel/PDF;X;;INSTRUMENTOS ARCHIVÍSTICOS;Tabla de Valoración Documental;Docuementos que registran agrupaciones documentales de los documentos producidos por la entidad antes de la aprobacion de la TRD asi como sus tiempos de retención . Alli tambien se agrupan los soportes y evidencias de aprobación y adopción;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
53;Dirección Corporativa ;"Ley 594 de 2000 ""POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS Y SE DICTAN OTRAS DISPOSICIONES""

Decreto 1080 de 2015 (mayo 26). Por medio del cual se expide el Decreto Único
Reglamentario del Sector Cultura. Título II Patrimonio Archivístico, Capítulo V Gestión de Documentos.
";;N/A;N/A;Inventario documetnales de transferencia ;Relacion de expedientes transferidos al Archivo Central ;Español ;X;X;X;Papel y electronico ;Excel/PDF;;;INSTRUMENTOS ARCHIVÍSTICOS;Transferencias Documentales;Registo documental mediante el cual se registra el inventario de expedientes transferidos de un archivo a otro.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
54;Dirección Corporativa ;Resolución  723 de 2015;;M-DA-005;N/A;Plan ;Plan Estratégico de Seguridad Vial    ;Español ;;;X;Papel ;EXCEL;X;;PLANES ;Planes Estratégicos de Seguridad Vial    ;Documentos que dan cuenta del instrumento de planificación que contiene las acciones, estrategias y políticas dirigidas a prevenir, controlar y disminuir el riesgo de muerte o de lesión de sus integrantes, contratistas, personas que interactúan directa o indirectamente y personas que asisten a las instalaciones para acceder a los servicios que presta la Secretaría realizando desplazamientos ya sea en medios motorizados o no motorizados a fin de evitar o reducir la accidentalidad vial.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
55;Subgerencia Económica ;Procedimiento  para la actualización de tarifas de los Agentes del Sistema;;P-SE-003;N/A ;Actualizaciones tarifarias a operadores de Transmilenio;Documento actualización tarifas de remuneración Operadores del Sistema Integrado de Transporte Público – SITP y  Documento Tarifa Técnica de Operación del Sistema TransMilenio.;Español ;;X;;Papel;WORD / PDF;X;;Actualizaciones Tarifarias SITP ;;Evidencia el proceso de proyección y ajuste de la tarifa técnica del Sistema (indica el costo medio de operación y control por pasajero pago del Sistema) y las tarifas de los agentes del Sistema (operadores de troncal y de alimentación) basada en los contratos de concesión que indican una remuneración a los operadores. Se realiza con una periodicidad mensual. Las tarifas actualizadas son la base para la liquidación del pago semanal a los agentes del Sistema. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
56;Subgerencia Económica ;Procedimiento  para la actualización de tarifas de los Agentes del Sistema;;P-SE-004 ;N/A ;Estudio;Estudio proyecciones Fondo de Estabilización Tarifaria y Estudio Técnico Financiero de Soporte a la Actualización Tarifaria ;Español ;;X;;Papel;WORD / PDF;X;;ESTUDIOS;Estudio Técnico Financiero de Soporte a la Actualización Tarifaria ;"El Estudio Técnico Financiero de Soporte a la Actualización Tarifaria se define como aquel que, dado un diseño operacional del SITP que busca satisfacer las necesidades de movilidad de los usuarios del transporte público bajo condiciones de eficiencia y estándares de calidad de servicio, indica el costo medio de operación y control por pasajero pago del Sistema; considerando para cada uno de los agentes prestadores de servicio que intervienen en dicha operación, una adecuada estructura de costos, y una rentabilidad razonable conforme a las condiciones definidas en los pliegos de condiciones.";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
57;Subgerencia Económica ;Procedimiento  para la actualización de tarifas de los Agentes del Sistema;;P-SE-006;N/A ;Liquidación previa ;Corresponde a la liquidación realizada por TRANSMILENIO S.A., para el control de la información técnica y su correspondiente participación económica de los agentes dentro de su marco como ente gestor la cual es enviada a La Fiduciaria para que sirva como referencia para la liquidación definitiva para remunerar a los Agentes del Sistema.,;Español ;;;X;Papel;PDF;X;;LIQUIDACIONES ;Liquidación previa de pagos semanales a operadores SITP;Documenta el proceso del cálculo de la liquidación previa de la remuneración de las participaciones económicas correspondientes a cada uno de los agentes vinculados al Sistema. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
58;Subgerencia Económica ;Análisis Financiero y Económico de Concesiones;;P-SE-013;N/A ;Mapa de riesgos;Documento que evidencia los riesgos financieros de los operadores. ;Español ;;;X;Papel;HOJA DE CALCULO;X;;MAPA DE RIESGOS FINANCIEROS DE LOS CONCECIONARIOS ;;El mapa de riesgos financieros de los concesionarios es una herramienta utilizada por Transmilenio S.A. para visualizar las posibles amenazas que pueden surgir en las diferentes áreas de las empresas concesionarias del sistema. Mide la probabilidad y la gravedad de los eventos adversos que en materia financiera puedan surgir. Prevé los riesgos externos e internos de la empresa que servirá para monitorizar y controlar la situación económica de los operadores en situaciones límite, su capacidad de financiamiento e inversión. ;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Subgerencia Económica ;
59;Subgerencia Técncia y de Servicios ;"Resolución No. 306 del 19 de Mayo de 2015 ""Por medio del cual se crea e integra el Comité Técnico Operacional, se fijan sus funciones y se dictan otras disposiciones""";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Gestión para el Desarrollo para los trabajadores oficiales.;Español ;X;X;;Papel;WORD/PDF ;X;;ACTAS ;Actas de Comité Técnico Operacional      ;Las Actas de Comité Técnico Operacional registran las decisiones tomadas en torno a ajustes en las rutas del componente zonal de Transmilenio S.A. con la respectiva coordinación de la dependencias que nivel interno de la entidad están comisionadas para llevar a cabo los ajustes, así como también se proyectan acciones de mejoramiento en el sistema de recaudo, Control de Flota e Información al Usuario – SIRCI, además de aspectos ambientales en la operación. ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
60;Subgerencia Técncia y de Servicios ;"Decreto No. 289 del 07 de Julio de 2016 ""Por medio del cual se modifica el Decreto 294 de 2011 y se dictan otras disposiciones"". 

Resolución No. 607 del 25 de Octubre de 2016 ""Por la cual se actualiza el Reglamento Interno del Comité de Seguimiento a la Etapa de Transición"". 
";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Seguimiento a la Etapa de Transición SITP (Patios y terminales zonales);Español ;X;X;;Papel;WORD/PDF ;X;;ACTAS ;Actas de Comité de Seguimiento a la Etapa de Transición SITP (Patios y terminales zonales)       ;Las Actas de Comité de Seguimiento a la Etapa de Transición SITP registran las decisiones tomadas en torno a la coordinación, articulación e impulso de las acciones, programas y proyectos que requiera el proceso de implementación de los terminales y patios zonales del Sistema Integrado de Transporte Público, en el marco del Plan de Ordenamiento territorial y el Plan Maestro de Movilidad vigente.;;X;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
61;Subgerencia Técncia y de Servicios ;"Resolución No. 525 del 19 de Septiembre de 2016 ""Por la cual se modifica la Resolución 260 de  2016 que conformó el Comité de Protocolo de Articulación"". ";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité del Protocolo de Articulación  ;Español ;X;X;;Papel;WORD/PDF ;X;;ACTAS ;Actas de Comité del Protocolo de Articulación   ;Las Actas del Comité de Protocolo de Articulación registran las decisiones tomadas en torno a zanjar las controversias que se suscitan en el cumplimiento del Protocolo de Articulación entre los concesionarios de operación y el concesionario del Sistema Integrado de Recaudo, Control e Información y Servicio al Usuario - SIRCI. Así como los debates respecto de la preparación, aprobación y puesta en operación de los vehículos utilizados en el marco del Sistema Integrado de Transporte Público.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
62;Subgerencia Técncia y de Servicios ;"Resolución No. 512 del 02 de Septiembre de 2016 "" Por la cual se modifica la Resolución No. 305 del 17 de julio de 2012 que confomó el Comité de Concesionarios con operación zonal del Sistema Integrado de Transporte Público de Bogotá D.C. y se deroga la Resolución No. 77 de 10 de mayo de 2015.
";;N/A;R-OP-004 ;Acta;Es el documento que contiene los temas tratados, decisiones y compromisos a los cuales se llego en el Comité de Concesionarios con Operación Zonal del SITP .;Español ;X;X;;Papel;WORD/PDF ;X;;ACTAS ;Actas de Comité de Concesionarios con Operación Zonal del SITP ;"Las Actas de Comité de Concesionarios con Operación Zonal (alimentadores, complementario y urbano) registran las decisiones tomadas por los Concesionarios de operación zonal y Transmilenio S.A, quienes conforman el Comité acerca de temas como ajustes a la tarifa que incidan en el mejoramiento del servicio; modificaciones, supresiones y adiciones a los desincentivos (descuentos en el pago de los operadores por infracciones a la operación) y unificación de criterios de prestación del servicio.";X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
63;Subgerencia Técncia y de Servicios ;Seguimiento a proyectos de Infraestructura;;P-ST-006;R-OP-004 ;Acta;Es el documento que contiene la información sobre las características y estado de la infraestructura recibida al ente ejecutor;Español ;X;X;;Papel;PDF;X;X;ACTAS ;Actas de Entrega de infraestructura  ;Las Actas de Entrega de Infraestructura son utilizadas para dar constancia de la entrega y recibo de toda la infraestructura del sistema que está compuesta por los derechos de la vía en que opera, sus paraderos y/o estaciones, facilidades de acceso peatonal, los estacionamientos, talleres de mantenimiento, control y suministro de energía entre otros.  ;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
64;Subgerencia Técncia y de Servicios ;Procedimiento de consolidación y producción estadistica  sobre validaciones y abordajes del sistema;;"P-ST-001 
P-ST-011";N/A;Registro de base de datos de información recolectada;Estadísticas generadas bimensualmente a partir de información primaria y secundaria aportada por la dirección técnica de BRT, BUSES, Modos alternativos y la Subgerencia Económica de la entidad, el cual tiene como propósito proveer un informe periódico del estado actual y seguimiento a la oferta y la demanda del SITP. ;Español ;;;X;POWER POINT/PDF ;POWER POINT/PDF ;X;;ESTADISTICAS ;Estadísticas del SITP   ;Las estadísticas del SITP contienen información recopilada en campo, necesaria para las áreas misionales con el fin de soportar la planeación y supervisión del Sistema Integrado de Transporte Publico SITP en cumplimiento de los estándares técnicos y metodológicos de calidad aplicables.;X;;;Dirección Corporativa  -Profesional Gestión Documental ;Disponible ;Archivo de gestión Dirección Corporativa;
