upz_id,Estacion,anio,mes,flujo_total_mes,pct_flujo_nocturno,pct_flujo_finde,pct_flujo_pico_am,pct_flujo_pico_pm,concentracion_horaria_gini,ABRIR DOMICILIO,ACCIDENTE CEREBRO VASCULAR,ACCIDENTE DE AVIACIÓN,ACCIDENTE DE TRÁNSITO,ACCIÓN SUBVERSIVA,ACTOS CONTRA EL AMBIENTE,ALARMA,AMENAZA DE SUICIDIO,ANIMAL,ANIMAL PELIGROSO,CAÍDA DE ALTURA,COLAPSO O POSIBILIDAD DE COLAPSO,CONGESTIÓN VEHICULAR,CONVULSIÓN,DAÑOS EN PROPIEDAD PÚBLICA O PRIVADA,DAÑOS EN REDES DE SERVICIOS,DELINCUENTE CAPTURADO POR CIVIL,DELITOS INFORMÁTICOS,DISPAROS,DOLOR TORÁXICO,ELECTROCUCIÓN,ELEMENTO CAÍDO O EN PELIGRO DE CAER,EMBRIAGUEZ,ENFERMO,ESTABLECIMIENTO ILEGAL PARA EL ABORTO,EVENTO NATURAL,EVENTO RESPIRATORIO,EXHIBICIONES O ACTOS OBSCENOS,EXPLOSIÓN,EXTRAVIADO O DESAPARECIDO,FENÓMENO DE REMOCIÓN DE MASA,FUGA DE PRESOS,HABITANTE DE LA CALLE,HALLAZGO DE EXPLOSIVOS,HERIDO,HURTO EFECTUADO,HURTO EN PROCESO,INCENDIO,INCONSCIENTE O PARO CARDIORESPIRATORIO,INDEBIDO USO DE ESTABLECIMIENTO,INFORMACIÓN CONFIDENCIAL,INTENTO DE SUICIDIO,INTENTO O VIOLACIÓN DE DOMICILIO,INTOXICACIÓN,INUNDACIÓN,INVASIÓN DE TERRENO O EDIFICIO,LESIONES PERSONALES,MALTRATO,MANIFESTACIÓN O MOTÍN,MANIOBRAS PELIGROSAS,MATERIALES PELIGROSOS,MENDICIDAD,MENOR EN ESTABLECIMIENTO DE MAYORES,MUERTE NATURAL,MUERTO,NARCÓTICOS,PANDILLAS,PATOLOGÍA GINECOBSTÉTRICA,PERSONA ABANDONADA,PERSONA O VEHÍCULO SOSPECHOSO,PERSONA PIDIENDO AUXILIO,PERSONA TENDIDA EN LA VÍA,PORTE DE ARMAS,QUEMADURAS,QUEMAS,RAPTO,RECONOCIMIENTO,REMISIÓN DE DINERO O ACOMPAÑAMIENTO,RESCATE,RESTOS HUMANOS,RIÑA,RUIDO,SANGRADO VAGINAL,SECUESTRO,SOLICITUD DE APOYO O DESACATO,SUPLANTACIÓN DE PROFESIÓN U OFICIO,SÍNTOMAS GASTROINTESTINALES,TRASTORNO MENTAL,VEHÍCULO ABANDONADO,VEHÍCULO MAL ESTACIONADO,VEHÍCULO RECUPERADO,VERIFICAR SITUACIÓN,VIOLACIÓN DE MEDIDA GUBERNAMENTAL,VIOLENCIA SEXUAL
UPZ27,21 Ángeles,2023,11,146477,0.19562115553977757,0.2000996743516047,0.26680639281252344,0.24859192910832417,0.426897226185681,0,24,0,182,0,18,12,14,72,58,23,0,1,42,13,11,53,3,14,17,0,21,52,43,0,0,38,9,1,16,0,3,25,4,81,61,101,12,52,4,9,39,6,18,0,10,44,222,1,22,28,3,2,16,0,114,0,7,12,83,17,5,6,1,5,7,1,15,8,0,662,536,1,1,10,2,18,58,11,68,1,243,0,9
UPZ27,21 Ángeles,2023,12,131478,0.20296171222561948,0.25078720394286497,0.2513272182418351,0.24054214393282528,0.40653822946297735,5,24,0,240,0,20,16,6,44,19,10,0,1,29,16,25,29,3,22,19,0,6,59,39,0,0,23,8,0,22,0,1,30,2,48,58,83,34,42,3,5,28,10,24,2,4,42,196,2,16,106,6,1,9,1,115,1,5,19,80,13,10,5,0,12,10,1,23,5,0,676,473,0,3,8,7,30,65,25,34,2,224,0,6
UPZ27,21 Ángeles,2024,1,121342,0.19071714657744226,0.1935850735936444,0.2609154291177004,0.25440490514413805,0.4303765390384204,1,10,0,165,0,11,6,5,45,19,10,0,8,19,10,6,40,2,4,12,0,10,22,17,0,0,28,8,1,15,0,2,39,0,52,43,60,14,56,1,5,16,8,8,0,0,18,142,0,12,23,3,2,4,0,114,0,3,5,48,13,11,6,0,17,13,0,14,1,0,401,337,0,2,5,0,18,41,7,27,2,135,0,3
UPZ27,21 Ángeles,2024,2,143390,0.2003068554292489,0.16571587976846364,0.2800404491247646,0.2478415510147151,0.43643966338889273,1,25,0,206,0,15,19,10,64,28,14,0,6,33,17,30,38,7,15,22,0,21,43,32,0,0,29,6,1,16,0,9,37,0,57,69,96,21,63,4,13,32,11,12,39,4,30,193,3,15,3,0,3,6,2,160,1,11,10,124,20,5,8,0,17,9,2,12,4,0,669,338,0,5,9,2,17,52,18,48,2,203,0,10
UPZ27,21 Ángeles,2024,3,131612,0.1976339543506671,0.25399659605507097,0.2685317448256998,0.23229644713248032,0.41796150806917304,0,17,0,231,0,18,16,7,44,13,11,0,7,32,21,19,38,7,16,22,0,10,60,23,0,0,31,5,1,11,0,1,28,2,65,38,64,18,37,4,4,31,8,9,1,5,20,172,1,13,4,5,1,22,1,154,0,4,9,73,15,16,6,0,17,6,1,11,5,0,541,430,2,2,14,1,40,52,11,39,2,163,0,9
UPZ27,21 Ángeles,2024,4,148740,0.19392228048944468,0.16506655909640985,0.28063063063063065,0.24067500336157052,0.4345547039576891,1,8,0,150,0,37,23,12,42,14,4,0,4,18,6,26,24,7,17,10,0,21,43,26,0,0,13,4,0,10,0,0,15,1,14,34,64,32,38,1,2,27,2,5,7,1,21,106,7,9,1,5,4,3,3,99,0,3,3,58,18,4,3,0,7,10,0,7,4,0,410,236,0,0,2,0,8,39,9,31,0,144,0,3
UPZ27,21 Ángeles,2024,5,145690,0.18866085524057932,0.19410391928066442,0.27762372160065896,0.2373052371473677,0.42956334225638915,4,17,0,216,0,20,18,10,47,23,7,1,10,23,14,13,53,11,14,33,0,13,64,53,0,0,50,11,1,16,0,1,45,1,61,65,74,11,63,7,12,24,12,14,0,0,20,165,1,20,4,1,3,1,2,146,0,7,2,91,26,14,1,0,14,8,5,14,5,1,658,356,0,6,9,4,30,64,7,46,3,204,0,25
UPZ27,21 Ángeles,2024,6,128377,0.18746348645006505,0.2565568598736534,0.26968226395693934,0.2320275438746816,0.4194835653323155,3,26,0,233,0,20,36,6,45,16,9,0,13,36,23,12,52,6,32,27,0,18,52,42,0,0,41,9,0,23,0,0,38,3,62,60,97,12,82,1,13,40,17,16,2,2,46,250,10,18,11,2,4,9,3,151,0,5,4,84,26,14,3,0,18,12,0,17,6,1,736,469,1,1,3,5,31,44,17,69,1,233,0,19
UPZ27,21 Ángeles,2024,7,131634,0.17528146223620036,0.19094610814835072,0.2860811036662261,0.23828190285184678,0.44316121468111075,1,24,0,242,0,17,37,11,38,21,16,0,9,41,15,13,40,14,11,17,0,17,43,38,0,0,44,5,1,11,0,0,27,4,47,77,113,64,55,7,12,43,11,7,0,6,58,189,7,12,3,6,4,7,4,147,0,3,6,102,11,10,8,1,6,9,1,27,10,0,664,401,1,1,4,4,27,102,14,65,0,240,0,15
UPZ27,21 Ángeles,2024,8,149346,0.18394868292421626,0.21827166445703267,0.26693717943567286,0.23945067159482009,0.4241169275820355,4,19,0,256,0,21,32,9,53,31,12,0,16,29,13,11,43,6,4,18,0,4,74,30,0,0,31,5,0,16,0,6,27,0,52,57,83,9,39,1,8,24,13,10,0,3,29,164,1,41,13,9,5,4,1,148,1,1,7,86,24,6,6,0,28,4,1,13,7,0,579,448,0,3,13,6,25,87,17,42,0,204,0,17
