cod_estacion,nom_est,upz_id,cod_localidad,localidad,anio,mes,flag_soacha,sin_upz,mes_incompleto,n_dias_con_dato,validaciones_mes,salidas_mes,flujo_total_mes,pct_flujo_nocturno,pct_flujo_finde,pct_flujo_pico_am,pct_flujo_pico_pm,concentracion_horaria_gini,upz_nuse_hurto,upz_nuse_violencia,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_total,loc_nuse_hurto,loc_nuse_violencia,loc_nuse_orden_publico,loc_nuse_total,poblacion_localidad,loc_tasa_nuse_hurto_100k_hab,loc_tasa_nuse_violencia_100k_hab,upz_hurto_por_100k_val_estacion,dai_total,dai_hurto_personas,ir_total,loc_tasa_dai_100k_hab,dist_cai_m,n_cai_500m,indice_seguridad_nocturna_2019,num_acc,acc_puent,longitud,latitud,unidad_ecologica,match_dim,loc_nuse_otros,dai_homicidio,dai_lesiones_personales,dai_hurto_residencias,dai_hurto_automotores,dai_hurto_bicicletas,dai_hurto_comercio,dai_hurto_celulares,dai_hurto_motocicletas,dai_delitos_sexuales,dai_violencia_intrafamiliar,dai_es_anual,ir_incidente_reportado,ir_nuse_despachado,ir_amenaza_orden_publico,ir_maltrato_mujer,ir_otros_ir,ir_delito_ir,ir_pia,ir_hurto_ir,ir_hurto_cel_ir,ir_es_anual,nocturno2019_plocalida,nocturno2019_piluminac,nocturno2019_pqueveo,nocturno2019_pquienes,nocturno2019_ppersonas,nocturno2019_ppresenci,nocturno2019_psendero,nocturno2019_ptranspor,nocturno2019_ppresen1
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2023,11,False,False,False,30,2034628.0,2209820.0,4244448.0,0.1884369887438838,0.2265884751091308,0.24792764571506118,0.16260300514931506,0.27787140771902685,38.0,154.0,223.0,233.0,648.0,722.0,3148.0,3867.0,11947.0,585076.0,123.4027716057401,538.049757638324,1.8676632780046278,9046.0,4968.0,39367.0,1546.123922362223,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,4210.0,14.0,435.0,378.0,56.0,208.0,1599.0,48.0,569.0,147.0,624.0,True,12578.0,2109.0,11980.0,2684.0,3216.0,572.0,190.0,5296.0,742.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2023,12,False,False,False,31,1847294.0,1999304.0,3846598.0,0.1962669350943353,0.28069842494588726,0.22870832876219455,0.15905197267819512,0.2538948275534486,27.0,146.0,170.0,309.0,652.0,718.0,3253.0,4234.0,13435.0,585076.0,122.71909974088835,555.9961440906823,1.4615973418416341,9046.0,4968.0,39367.0,1546.123922362223,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,5230.0,14.0,435.0,378.0,56.0,208.0,1599.0,48.0,569.0,147.0,624.0,True,12578.0,2109.0,11980.0,2684.0,3216.0,572.0,190.0,5296.0,742.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,1,False,False,False,31,1692832.0,1834069.0,3526901.0,0.18414097815617733,0.21668541305809264,0.24542424071444024,0.16598679690754006,0.2807932383182396,21.0,102.0,133.0,190.0,446.0,453.0,1894.0,2626.0,7940.0,586366.0,77.25550253595877,323.00644989648106,1.2405247537853727,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,2967.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,2,False,False,False,29,2004113.0,2145625.0,4149738.0,0.1877581187053255,0.18067670778251543,0.2599959322733146,0.1616065881749643,0.28908431359349585,46.0,156.0,209.0,330.0,741.0,669.0,2660.0,3646.0,11593.0,586366.0,114.09256334780666,453.64158221997866,2.2952797571793604,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,4618.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,3,False,False,False,31,1906275.0,1986144.0,3892419.0,0.18520154176618706,0.2717713586332818,0.24704817235760076,0.15950775083566285,0.2752465331556295,21.0,126.0,166.0,221.0,534.0,507.0,2345.0,3475.0,9925.0,586366.0,86.46476773892074,399.92086853603377,1.1016248967226658,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,3598.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,4,False,False,False,30,2066962.0,2245685.0,4312647.0,0.1857446250527808,0.18087592144685155,0.2582411683590148,0.16425016932756148,0.28974781574427577,20.0,72.0,103.0,188.0,383.0,476.0,1788.0,2316.0,7461.0,586366.0,81.17796734462776,304.9290033869631,0.9676036617992977,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,2881.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,5,False,False,False,31,1996175.0,2220376.0,4216551.0,0.18930922452971635,0.2154170553136912,0.25128641868674184,0.16067326115585936,0.2799961430054888,28.0,143.0,188.0,265.0,624.0,630.0,2826.0,3990.0,11809.0,586366.0,107.44142736788967,481.9515456216766,1.4026826305308904,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,4363.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,6,False,False,False,30,1741938.0,1908784.0,3650722.0,0.1863932668661158,0.2936679374655205,0.24385395546415203,0.16101335571429432,0.2728714665666311,63.0,176.0,178.0,278.0,695.0,724.0,3041.0,4019.0,11919.0,586366.0,123.47237049897164,518.6180644853215,3.6166614426001384,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,4135.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,7,False,False,False,31,1886383.0,1807159.0,3693542.0,0.1767373973275517,0.2132546482482127,0.25675489814384134,0.16723486561138332,0.29459787939783205,45.0,198.0,186.0,211.0,640.0,668.0,2871.0,3971.0,11732.0,586366.0,113.92202139960366,489.62593329081153,2.3855176811919954,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,4222.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
2000,Portal Norte – Unicervantes,UPZ10,01,USAQUÉN,2024,8,False,False,False,31,2004953.0,2210430.0,4215383.0,0.1845322239995749,0.2436758415546108,0.25187485929511033,0.16293869382687173,0.2827303659707135,37.0,163.0,206.0,277.0,683.0,608.0,2792.0,3896.0,11261.0,586366.0,103.6895045074237,476.1531193827746,1.845429793117345,9684.0,4757.0,36626.0,1651.528226397847,177.7828067856346,1,41.7932881111111,1.0,1.0,-74.04604465,4.75462286,UPZ,True,3965.0,23.0,436.0,352.0,82.0,302.0,1616.0,68.0,553.0,244.0,1251.0,True,11327.0,2041.0,11094.0,2943.0,3412.0,438.0,148.0,4430.0,793.0,True,6.962955,65.071641,66.585564,44.471479,16.626115,9.62,87.753447,68.937551,10.110841
