upz_id,cod_localidad,localidad,anio,mes,upz_nuse_hurto,upz_nuse_orden_publico,upz_nuse_otros,upz_nuse_violencia,upz_nuse_total,poblacion_localidad,dai_total,dai_hurto_personas,ir_total,indice_seguridad_nocturna_2019
UPZ18,11,SUBA,2023,9,79.0,394.0,394.0,306.0,1173.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,10,79.0,418.0,524.0,319.0,1340.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,11,82.0,400.0,541.0,345.0,1368.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ18,11,SUBA,2023,12,78.0,447.0,539.0,360.0,1424.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ13,01,USAQUÉN,2023,1,175.0,692.0,837.0,346.0,2050.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,2,151.0,642.0,850.0,382.0,2025.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,3,203.0,720.0,881.0,468.0,2272.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,4,211.0,795.0,904.0,476.0,2386.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,5,203.0,859.0,1036.0,495.0,2593.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,6,200.0,740.0,968.0,484.0,2392.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,7,192.0,850.0,971.0,416.0,2429.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,8,175.0,757.0,841.0,403.0,2176.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,9,161.0,921.0,1188.0,516.0,2786.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,10,169.0,913.0,1023.0,544.0,2649.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,11,183.0,711.0,976.0,539.0,2409.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ13,01,USAQUÉN,2023,12,177.0,698.0,1188.0,513.0,2576.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,1,24.0,77.0,154.0,62.0,317.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,2,41.0,93.0,182.0,59.0,375.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,3,33.0,108.0,159.0,81.0,381.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,4,33.0,140.0,179.0,68.0,420.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,5,42.0,103.0,206.0,86.0,437.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,6,35.0,164.0,175.0,67.0,441.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,7,42.0,110.0,171.0,57.0,380.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,8,28.0,110.0,140.0,57.0,335.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,9,30.0,151.0,181.0,82.0,444.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,10,31.0,142.0,175.0,63.0,411.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,11,30.0,101.0,178.0,66.0,375.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ15,01,USAQUÉN,2023,12,39.0,93.0,188.0,77.0,397.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,1,149.0,554.0,747.0,342.0,1792.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,2,142.0,532.0,803.0,297.0,1774.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,3,156.0,579.0,837.0,327.0,1899.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,4,166.0,586.0,868.0,323.0,1943.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,5,177.0,701.0,889.0,414.0,2181.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,6,158.0,596.0,779.0,308.0,1841.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,7,161.0,664.0,815.0,319.0,1959.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,8,134.0,580.0,727.0,235.0,1676.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,9,174.0,717.0,889.0,314.0,2094.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,10,172.0,693.0,869.0,293.0,2027.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,11,170.0,592.0,870.0,331.0,1963.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ16,01,USAQUÉN,2023,12,173.0,729.0,1025.0,305.0,2232.0,585076.0,9046.0,4968.0,39367.0,41.7932881111111
UPZ97,02,CHAPINERO,2023,1,194.0,709.0,979.0,405.0,2287.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,2,238.0,1117.0,1269.0,446.0,3070.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,3,259.0,971.0,1215.0,469.0,2914.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,4,229.0,863.0,1124.0,468.0,2684.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,5,252.0,1038.0,1288.0,487.0,3065.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,6,273.0,889.0,1147.0,458.0,2767.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,7,239.0,848.0,1087.0,401.0,2575.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,8,182.0,702.0,931.0,421.0,2236.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,9,272.0,918.0,1271.0,433.0,2894.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,10,233.0,1017.0,1316.0,485.0,3051.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,11,237.0,952.0,1208.0,480.0,2877.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ97,02,CHAPINERO,2023,12,191.0,1223.0,1180.0,497.0,3091.0,162013.0,14078.0,8844.0,20085.0,42.201468444444444
UPZ27,11,SUBA,2023,1,148.0,751.0,943.0,866.0,2708.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,2,109.0,881.0,998.0,855.0,2843.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,3,158.0,871.0,942.0,910.0,2881.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,4,172.0,1071.0,1006.0,1039.0,3288.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,5,141.0,1075.0,1074.0,1066.0,3356.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,6,132.0,904.0,924.0,977.0,2937.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,7,182.0,965.0,974.0,783.0,2904.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,8,127.0,792.0,836.0,751.0,2506.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,9,139.0,1078.0,1090.0,964.0,3271.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,10,145.0,1044.0,992.0,918.0,3099.0,1241362.0,20751.0,10547.0,91018.0,40.380222
UPZ27,11,SUBA,2023,11,162.0,1141.0,990.0,1108.0,3401.0,1241362.0,20751.0,10547.0,91018.0,40.380222
