familia,modelo,n_test,mae,rmse,r2,localidad,skill_vs_persistencia
hurto,persistencia,12,12.583333333333334,16.306951482931034,0.9208908354681431,Antonio Nariño,0.0
hurto,bosque,12,13.480972632071087,14.919376969300957,0.933781000500158,Antonio Nariño,-0.07133557340962282
hurto,red_residual,12,13.827143033345541,16.59150760382966,0.918105838489003,Antonio Nariño,-0.09884580397447995
hurto,mlp,12,14.98601302664075,17.58345435040635,0.9080207982138528,Antonio Nariño,-0.19094143258072171
hurto,bosque,18,25.599096402264674,31.959973957100043,0.8472149907461599,Barrios Unidos,0.1305967259608224
hurto,red_residual,18,29.41717741224501,35.520536208799626,0.8112760848266214,Barrios Unidos,0.000926050150169444
hurto,persistencia,18,29.444444444444443,35.53871128783372,0.8110829036426414,Barrios Unidos,0.0
hurto,mlp,18,31.326184212525398,38.020470930102256,0.7837764989970666,Barrios Unidos,-0.0639081430669004
hurto,bosque,12,13.364126892265269,17.398862324752184,0.9701121834663149,Bosa,0.308752057296624
hurto,red_residual,12,15.219648679097494,21.619465836100577,0.9538531135585322,Bosa,0.21277679246047443
hurto,mlp,12,18.554845460413862,24.490782604340097,0.9407814441769976,Bosa,0.040266614116524324
hurto,persistencia,12,19.333333333333332,26.620793877468543,0.9300328005528923,Bosa,0.0
hurto,bosque,6,10.129886276919752,11.828444914015973,-0.39139114006098685,Candelaria,0.15584281025668734
hurto,persistencia,6,12.0,13.341664064126334,-0.7701657458563536,Candelaria,0.0
hurto,red_residual,6,12.608065923055014,14.917244528123964,-1.2129476892890603,Candelaria,-0.05067216025458454
hurto,mlp,6,22.364040139249383,27.013354208592173,-6.256896961756662,Candelaria,-0.8636700116041152
hurto,bosque,10,22.12734656373744,31.477101825334735,0.6850338425936844,Chapinero,0.3274362746584365
hurto,mlp,10,28.0967377853595,34.28757806230555,0.6262785433794387,Chapinero,0.14599581199515188
hurto,red_residual,10,28.438821411132814,34.47229771049529,0.622240949900495,Chapinero,0.13559813340021842
hurto,persistencia,10,32.9,41.4981927317323,0.45256472203855347,Chapinero,0.0
hurto,persistencia,6,13.0,16.89181261242657,-0.47163323782234956,Ciudad Bolívar,0.0
hurto,mlp,6,14.247114053694032,17.123088455727938,-0.5122071199794562,Ciudad Bolívar,-0.0959318502841564
hurto,red_residual,6,14.35317866007487,16.955937780467227,-0.4828277559516809,Ciudad Bolívar,-0.10409066615960527
hurto,bosque,6,15.681582076675134,16.261293544727355,-0.36382063594849523,Ciudad Bolívar,-0.2062755443596258
hurto,red_residual,30,14.625859483083088,19.78184588869556,0.9399183970641872,Engativá,0.13113706041090556
hurto,bosque,30,15.220780560495484,20.152385237442207,0.9376465057898198,Engativá,0.09579521422799098
hurto,mlp,30,16.254276818404872,21.087792270607313,0.9317236789000438,Engativá,0.034399396926443226
hurto,persistencia,30,16.833333333333332,22.862633269157776,0.9197471651009775,Engativá,0.0
hurto,bosque,6,6.90931685531768,7.790815045337598,-0.2785750535656597,Fontibón,0.23229812718692444
hurto,red_residual,6,7.3941224416097,9.279851836936745,-0.8140218865757394,Fontibón,0.17843083982114438
hurto,mlp,6,8.643784899469964,9.01459312608135,-0.7117987198575499,Fontibón,0.03957945561444853
hurto,persistencia,6,9.0,9.60902353693305,-0.9449970743124636,Fontibón,0.0
hurto,red_residual,30,15.102124754587809,18.725466741444187,0.8725789301739563,Kennedy,0.14516274974031274
hurto,mlp,30,16.40567743259459,20.65628909408793,0.8449468654673843,Kennedy,0.07137674909841951
hurto,bosque,30,17.59148201111215,22.95334081736991,0.808544540730239,Kennedy,0.004255735220067169
hurto,persistencia,30,17.666666666666668,21.937790833779655,0.8251113091375848,Kennedy,0.0
hurto,mlp,6,38.609503560334055,49.26100956397642,-0.5382053118771388,Los Mártires,0.2120509477482846
hurto,bosque,6,43.523909642829864,55.6868349820172,-0.9656797360822449,Los Mártires,0.11175694606469666
