familia,modelo,n_test,mae,rmse,r2,skill_vs_persistencia,familia_modelo
hurto,persistencia,346,19.023121387283236,25.37954663273631,0.8882530258832905,0.0,linea_base
hurto,ridge,346,17.459163053160697,23.03404811180344,0.907953221856662,0.08221354962114835,tradicional
hurto,bosque,346,16.71208770680057,22.44482057068509,0.9126022346717619,0.12148551404542729,tradicional
hurto,mlp,346,19.90232994790576,25.959445524638816,0.8830880574674511,-0.04621789151859512,red_neuronal
hurto,red_residual,346,17.392247716815486,23.35461487620014,0.905373348414985,0.08573112883346123,red_neuronal
violencia,persistencia,346,66.38150289017341,102.64431543602149,0.9366241579388871,0.0,linea_base
violencia,ridge,346,57.55979623863446,84.9071514470954,0.9566346875929301,0.13289404830339935,tradicional
violencia,bosque,346,51.363874834714494,72.8058870771585,0.968114962434741,0.22623211891278228,tradicional
violencia,mlp,346,60.42360803573398,84.26159880476204,0.9572915973939222,0.0897523345365745,red_neuronal
violencia,red_residual,346,66.41735176681783,102.63569815826934,0.9366347986510793,-0.000540043160874637,red_neuronal
